videoid,comments,sentiment
9cEk9D1eI1k,Um... Am i the only one who got an add or...,0
vpcDYc_4gV4,negative chain,-1
4MkC65emkG4,Still Carefully,0
85cgOHCUeaA,smh,-1
#NAME?,Well now we know something about him... He like feet! She a size 10 mind you!!!!  I love you Ayesha dont come for me Im just saying!,1
H7ojygIbMYk,"More like Dayum Judi Dench, am I right?",1
YxC70Nr9ViU,"Im dead! Emilia - Diahrrea, diahrrea (sp?) shes so funny!",0
Qg7YzqCRoZ0,Geri's game still is and I think always will be my favourite Pixar Short it was probably the first 1 I ever saw and has ALWAYS been stuck in my mind,0
PPg1gN_ey2o,"Not gonna lie, this made my day. YAS you creative weirdos!",0
_PRvi816UkA,"Really like this makeup look, I know you said the lipstick is discontinued but I'd love a tutorial of the whole look",1
JcI8yn7xQWo,Is math related to science?,0
0eKdNcP4xrM,Maybe bar b q or maybe burrito...HAHA,0
Js8UXDe93yM,what caption can we put on the video picture to click bait this time ??????,0
Y_IuRdyDrdM,What a legend celebrity of our times a one worthy of celebrity title,1
r9-DM9uBtVI,where darkseid tho?,0
7qLrKUtV0Kw,"She needs to step away from the Pop Tarts from time to time, methinks.",0
kEmgwMPZ04k,THIS WAS UPLOADED ON MY BIRTHDAY!!!,0
_ux0gRwugto,Cece is a good look for the theme song. I love it,1
G8SsIMqvdNM,I liked your long hair better tbh ah well you can always use extentions,1
ufaDurSCKOk,This could have been filmed by Oats Studio,0
aizefBpQCKo,Branch pulled a GSP,0
UONnRMuuDps,what if they made a part 2 ??,0
XAov8XJkpE8,Am I the only one crying at this??,-1
MHMdv2D7ndc,fINNA NUT ON THIS SONG,0
9VjKMTwFXMw,"It lost a little essence, missing the accordion",-1
f-y88NypH2U,40 MINS OF ZOELLA,0
660YlPoECNk," right on time!!! Southeast San Diego  Mexicans,  fuck with ty and yg!!",0
ba2wNmoFk30,From a person who suffers with mental health issues I send you much love Simon. Thank you.,1
0AaApxaD170,It's hard to believe that someone so beautiful turned themself into THAT,1
#NAME?,The sprite bottle is probably blurred out because they dont wanna give sprite free promotion.. thats why sometimes rappers shirts or certain labels will be blurred out in their video,1
OudFElslbh4,This video shows what happened when I tried out the Instagram trends..haha lol..Love Alisha,0
ame5L8HJ6i0,"Rest in peace, Harry Dean Stanton you golden voiced champion. I'm so glad we got to see so much of him in the new Twin Peaks.",1
_n0Ps1KWVU0,"So this is the new, 'No Man Sky', update? Looks good.",0
w8fAellnPns,"YSACism is the goal, not minimalism!",0
OZAfse9Pb4c,What about the Desert?,0
ql0Op1VcELw,Airbus masterrace,0
XYpWaACwZnw,how does this nigga get this fat off of baby formula and apple juice ?,0
rtL5oMyBHPs,Can't stop watching  wonderful,0
ruTB5jBGXsE,Muffet's just asking you to donate to her charity.,1
74zJ4scJzNs,Joey be fuckkkkkkkin booiiiii,0
VfjjiHGuHoc,Amazing,1
rl4ofGm2aNI,Hahaha Im over here dying like HURRY UP BI**H PUT ON YOR LASHES OR MASCARA!!!  and its about time you guys did a collab,1
1wwwXCQyIRA,I thought you said 'ginger minge',0
aizefBpQCKo,"Lol, this is more humiliating than getting KO'd stiff.",0
vp_Dbt3FPDs,"You're right to worry Zoe, I've had fleece sheets before... never again! That being said, I'd still use the main sheet from the set as a minimalist duvet in the thick of winter! It looks good with a fur throw, but has to has cooler sheets underneath...!",0
hBaiNeNZGJU,"omg will 6:0 did you.. lied to me? so cuteeee you guys i love your relationship and maybe some videos about decorating and ikea and things like that and maybe some cooking videos we all loved you guys together!! so easy you just gotta be yourself and make videos we really watch this channel nd will's because we love you :) greetings from Mexico also, if you would like to use your platform for help I would really appreciate it, with the earthquake things has gotten pretty serious a lot of people are homeless now and a lot of people still burried under the buildings :( even little kids :( if you would like to share info about donation of curse you can make sure the site and info is true i would suggest donating via amazon, unicef and carlos slim foundation, red cross you sharing the links really means the world to us Arden. :( love from México!",1
gWPHeH0vEp4,Next video Body Smile Please !,1
iL_-GwbEP4g,soundtrack of my youth. now at 22 i look at it so fondly. I'm miles above everyone else my age. cause morrisey taught me such beautiful lessons about love. thank you morrisey you are a saviour in this zoo people call relationships today,1
lQX0jvVQywQ,Is that a gay mario?,0
9yUZTTLpDtk,I was surprised to see its not a rant by Matt Parker!,1
unByRjDRA34,omg amber youre so close to 1000000 subs !!!!! im so proud of you omg i remember when you had a small channel!!! youre doing great,1
Y8kAZAQ5dX0,Wish they where real,1
tN_Fta2ZgdM,Chauds is prononced just like showand it means warm,1
uZucY9atk9M,That's a bitch not a dog,-1
J7MYJ8Kxhwc,Major Eminem vibes. I like this.,1
Zy6vBxqlapw,mah wig!!!!,0
DmMk6qGaMSY,LMAOOOO.......,0
rtL5oMyBHPs,Just another wtf video clip from MGMT,-1
JgYfZAjOgEM,"I am so proud of you!! It's been over what a year or so since the slumber party tour?! Me and my best friend went to go see you in Brisbane and how excited we were. But we had no money to get your tour t shirt until we came out of the show and our mothers surprised us with a t shirt each and we cried. You've have such a long journey and honestly you can make your journey so much longer and bigger and you've got a lot to look forward to!! You haven't failed to make me laugh, smile and cry (happy tears) I cried through this whole video and seeing you feel loved and supported by all your friends and family and all of us. It was good to see you surprised. You've done so well. You'll always be a good influence to this community and its what this world needs. It's you. I'm so so proud of you and I love you with all my heart! keep it up baby.",1
qR1EM-RIZNk,Nothing will beat the original but this looks interesting,1
r9-DM9uBtVI,was that a flirt between Wonder Woman and the Bat?,0
aizefBpQCKo,Steroids,0
dYLYnuoSrdU,"Seriously ? No one knows? or is it just a clickbait? Chat is the same as SMS. The idea was to make replying texts a lot easier than just using reply function. You can just write it at the textbox instead. Meh, I also never use it back in the old days.",0
#NAME?,Am I the only one that noticed that Braun ripped his shirt off for the first time,0
c3JbJmXInOs,"Upload on Sam O'Nella Academy more often please, I would appreciate it.",1
bu9e410C__I,I wonder if anyone had to be sexually assaulted before getting a part in this movie?,-1
